market,asin,title,keyword,store,remark,link,image_url,status,,,
US,B0DQ5BHRLS,美国椅垫图评,Round Chair Mat for Hard Floor, BigSN,"Size: 36"" Round for Hard Floor
use coupon",https://amzn.to/4p45BEI,https://m.media-amazon.com/images/I/71AQVU3ghbL._AC_SX522_.jpg,active,,active,removed
US,B0DHCRF2NB,美国椅垫,clear mat for office chair, MESHDOUS,Size: 30" x 48" for Hard Floor,https://amzn.to/43VELGp,https://m.media-amazon.com/images/I/812kqpNHebL._AC_SX679_.jpg,active,,,
US,B0FL2PDGWR,美国除湿机,dehumidifier, Star Han,"Need Text Review
Sold by
Star Han",https://amzn.to/4rjF9J3,https://m.media-amazon.com/images/I/51Xr3p1H8iL._AC_SX679_.jpg,active,,,
US,B0DZC33VRN,美国颈部按摩器,neck massager,WANLIHENG,Need Text Review,https://amzn.to/4rp9RAa,https://m.media-amazon.com/images/I/61bEKd+r9eL._AC_SX679_.jpg,active,,,
US,B0G49H5WSL,美国戒指免评点星,love ring, Yiwushixiaoshengdianzishangwuyouxiangongsi,Need Rating,https://amzn.to/3XGPwJd,https://m.media-amazon.com/images/I/51BT+feRXVL._AC_SY500_.jpg,active,,,
US,B0FNRMQ6GQ,美国戒指,love ring, Yiwushixiaoshengdianzishangwuyouxiangongsi,,https://amzn.to/4iKtGOH,https://m.media-amazon.com/images/I/51BT+feRXVL._AC_SY500_.jpg,active,,,
US,B0FMJCRZTW,美国手部按摩仪图评,hand massager with heat and compression,Alljoy Official Store,Need Image Review,https://amzn.to/3MgAjMC,https://m.media-amazon.com/images/I/61RajxST9rL._AC_SY300_SX300_QL70_FMwebp_.jpg,active,,,
US,B0FH9QT9XS,美国棒球架图评,baseball necklace holder,Skilldance,Need Image Review,https://amzn.to/3Mww5Au,https://m.media-amazon.com/images/I/71+MpbZ1vyL._AC_SY300_SX300_QL70_FMwebp_.jpg,active,,,
US,B0DMQVRQ98,美国发套,hairnets for foodservice,Ritzy-US,Need Text Review,https://amzn.to/483NsRz,"https://m.media-amazon.com/images/I/71qyMTTYb3L._SX679_PIbundle-500,TopRight,0,0_AA679SH20_.jpg",active,,,
US,B0F4QFNH37,美国声卡,voice changer for ps5,Glomtheia,,https://amzn.to/3Xo2trc,https://m.media-amazon.com/images/I/61wIDceIChL._AC_SX679_.jpg,active,,,
US,B0FR2NJG8L,美国护膝图评,ZJMQJ Knee Brace Meniscus Tear Support , qijun2012,,https://amzn.to/4p4ZPD5,https://m.media-amazon.com/images/I/71XtUhsvDmL._SX385_.jpg,active,,,
US,B0FD2TPKYK,美国脚踏,bike pedals universal fit, TAISHAN Sports,Need Text Review,https://amzn.to/3K82bSl,https://m.media-amazon.com/images/I/71CgYew0enL._AC_SX522_.jpg,active,,,
